,Title,Published_date,Duration,Views,Likes,Comments
227,How to Increase Motivation & Drive,2021-03-22,PT1H29M3S,1815352,49410,2440
228,How Foods and Nutrients Control Our Moods,2021-03-15,PT1H44M8S,1273160,34023,2154
229,Tools for Managing Stress & Anxiety,2021-03-08,PT1H38M24S,2378193,60659,2759
230,Control Pain & Heal Faster with Your Brain,2021-03-01,PT1H37M58S,436215,13366,1323
231,Optimize Your Learning & Creativity With Science-Based Tools,2021-02-22,PT1H30M35S,453259,15001,1376
232,"Using Failures, Movement & Balance to Learn Faster",2021-02-15,PT1H28M6S,1632074,50157,2957
233,How to Focus to Change Your Brain,2021-02-08,PT1H29M43S,2678687,75274,3575
234,Understanding and Using Dreams to Learn and to Forget,2021-02-01,PT1H17M50S,976935,24228,2156
235,"How to Defeat Jetlag, Shift Work & Sleeplessness",2021-01-25,PT1H50M56S,500352,13456,1475
236,"Using Science to Optimize Sleep, Learning & Metabolism",2021-01-18,PT1H41M26S,1343281,37236,2030
237,Master Your Sleep & Be More Alert When Awake,2021-01-11,PT1H22M5S,3808493,109298,5169
238,How Your Nervous System Works & Changes,2021-01-04,PT1H2M31S,1411643,57218,3107
239,Welcome to the Huberman Lab Podcast,2020-12-23,PT4M23S,1026399,17732,2453
